time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.000,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999100,0.016200,0.035200,0.017000,2.017,2.017,4.002,1.928,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016200,0.035200,0.017000,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 07 27 a2 00 60 01 aa 00 07 00 4e
0.001,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.842600,0.003100,0.021100,-0.538000,-65.129,-65.129,2.229,-1.002,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016200,0.035200,0.017000,0.833545,0.008744,-0.017348,-0.552110,-67.057,-1.104,1.933,b6 00 00 00 00 00 00 ea 20 1f 00 d3 00 fc ea 07 28 3f
0.001,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999100,0.016200,0.035200,0.017000,2.017,2.017,4.002,1.928,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016200,0.035200,0.017000,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 07 27 a2 00 60 01 aa 00 07 00 4e
0.002,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.842600,0.003100,0.021100,-0.538000,-65.129,-65.129,2.229,-1.002,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016200,0.035200,0.017000,0.833545,0.008744,-0.017348,-0.552110,-67.057,-1.104,1.933,b6 00 00 00 00 00 00 ea 20 1f 00 d3 00 fc ea 07 28 3f
0.002,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999100,0.016100,0.035200,0.017000,2.017,2.017,4.002,1.917,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016100,0.035200,0.017000,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 07 27 a1 00 60 01 aa 00 07 00 4d
0.003,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.842600,0.003100,0.021100,-0.538000,-65.129,-65.129,2.229,-1.002,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016100,0.035200,0.017000,0.833546,0.008828,-0.017294,-0.552109,-67.056,-1.093,1.938,b6 00 00 00 00 00 00 ea 20 1f 00 d3 00 fc ea 07 28 3f
0.003,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999100,0.016100,0.035200,0.017000,2.017,2.017,4.002,1.917,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016100,0.035200,0.017000,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 07 27 a1 00 60 01 aa 00 07 00 4d
0.004,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.842600,0.003100,0.021100,-0.537900,-65.114,-65.114,2.229,-1.002,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016100,0.035200,0.017000,0.833593,0.008825,-0.017294,-0.552039,-67.047,-1.094,1.938,b6 00 00 00 00 00 00 ea 20 1f 00 d3 00 fd ea 07 28 3e
0.004,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999100,0.016100,0.035200,0.017000,2.017,2.017,4.002,1.917,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016100,0.035200,0.017000,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 07 27 a1 00 60 01 aa 00 07 00 4d
0.004,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.842600,0.003100,0.021100,-0.537900,-65.114,-65.114,2.229,-1.002,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016100,0.035200,0.017000,0.833593,0.008825,-0.017294,-0.552039,-67.047,-1.094,1.938,b6 00 00 00 00 00 00 ea 20 1f 00 d3 00 fd ea 07 28 3e
0.005,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999100,0.016100,0.035200,0.017000,2.017,2.017,4.002,1.917,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016100,0.035200,0.017000,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 07 27 a1 00 60 01 aa 00 07 00 4d
0.005,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.842700,0.003100,0.021200,-0.537900,-65.117,-65.117,2.239,-1.008,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999100,0.016100,0.035200,0.017000,0.833624,0.008825,-0.017196,-0.551994,-67.040,-1.085,1.931,b6 00 00 00 00 00 00 eb 20 1f 00 d4 00 fd ea 07 28 38
