time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.000,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.035000,-0.850800,-0.524200,0.002800,63.213,63.213,-1.830,-176.414,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005600,0.008869,0.847489,0.529923,0.029422,64.088,-2.319,177.349,b6 00 00 00 00 00 00 5e 01 c4 de 86 eb 1c 00 07 14 27
0.001,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998400,0.020300,0.050600,-0.005600,-0.526,-0.526,5.812,2.302,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005600,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 00 27 cb 00 fa 01 c8 ff 07 00 27
0.001,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.035200,-0.850800,-0.524200,0.002800,63.213,63.213,-1.842,-176.395,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005600,0.008669,0.847487,0.529930,0.029421,64.089,-2.331,177.368,b6 00 00 00 00 00 00 60 01 c4 de 86 eb 1c 00 07 14 19
0.002,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998400,0.020300,0.050600,-0.005600,-0.526,-0.526,5.812,2.302,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005600,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 00 27 cb 00 fa 01 c8 ff 07 00 27
0.002,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.035200,-0.850800,-0.524200,0.002800,63.213,63.213,-1.842,-176.395,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005600,0.008669,0.847487,0.529930,0.029421,64.089,-2.331,177.368,b6 00 00 00 00 00 00 60 01 c4 de 86 eb 1c 00 07 14 19
0.002,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998400,0.020300,0.050600,-0.005600,-0.526,-0.526,5.812,2.302,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005600,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 00 27 cb 00 fa 01 c8 ff 07 00 27
0.003,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.035200,-0.850800,-0.524200,0.002700,63.213,63.213,-1.852,-176.401,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005600,0.008669,0.847482,0.529932,0.029521,64.090,-2.341,177.362,b6 00 00 00 00 00 00 60 01 c4 de 86 eb 1b 00 07 14 1e
0.004,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998400,0.020300,0.050600,-0.005600,-0.526,-0.526,5.812,2.302,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005600,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 00 27 cb 00 fa 01 c8 ff 07 00 27
0.004,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.035200,-0.850800,-0.524200,0.002700,63.213,63.213,-1.852,-176.401,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005600,0.008669,0.847482,0.529932,0.029521,64.090,-2.341,177.362,b6 00 00 00 00 00 00 60 01 c4 de 86 eb 1b 00 07 14 1e
0.004,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998400,0.020300,0.050600,-0.005700,-0.537,-0.537,5.812,2.302,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998400,0.020300,0.050600,-0.005700,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 00 27 cb 00 fa 01 c7 ff 07 00 28
