time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.000,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999800,0.009800,0.010200,0.000900,0.115,0.115,1.168,1.124,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0e 27 62 00 66 00 09 00 07 00 23
0.001,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.079800,-0.006900,0.020300,0.996500,170.861,170.861,0.974,2.256,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,0.080835,-0.017830,0.029259,0.996138,170.785,2.307,3.179,b6 00 00 00 00 00 00 1e 03 bb ff cb 00 ed 26 07 32 6c
0.001,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999800,0.009800,0.010200,0.000900,0.115,0.115,1.168,1.124,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0e 27 62 00 66 00 09 00 07 00 23
0.002,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.079800,-0.006900,0.020300,0.996500,170.861,170.861,0.974,2.256,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,0.080835,-0.017830,0.029259,0.996138,170.785,2.307,3.179,b6 00 00 00 00 00 00 1e 03 bb ff cb 00 ed 26 07 32 6c
0.002,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999800,0.009800,0.010200,0.000900,0.115,0.115,1.168,1.124,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0e 27 62 00 66 00 09 00 07 00 23
0.003,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.079800,-0.006900,0.020300,0.996500,170.861,170.861,0.974,2.256,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,0.080835,-0.017830,0.029259,0.996138,170.785,2.307,3.179,b6 00 00 00 00 00 00 1e 03 bb ff cb 00 ed 26 07 32 6c
0.004,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999800,0.009800,0.010200,0.000900,0.115,0.115,1.168,1.124,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0e 27 62 00 66 00 09 00 07 00 23
0.004,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.079800,-0.006900,0.020300,0.996500,170.861,170.861,0.974,2.256,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,0.080835,-0.017830,0.029259,0.996138,170.785,2.307,3.179,b6 00 00 00 00 00 00 1e 03 bb ff cb 00 ed 26 07 32 6c
0.006,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999800,0.009800,0.010200,0.000900,0.115,0.115,1.168,1.124,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0e 27 62 00 66 00 09 00 07 00 23
0.007,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.079800,-0.006900,0.020300,0.996500,170.861,170.861,0.974,2.256,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999800,0.009800,0.010200,0.000900,0.080835,-0.017830,0.029259,0.996138,170.785,2.307,3.179,b6 00 00 00 00 00 00 1e 03 bb ff cb 00 ed 26 07 32 6c
