time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.045,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.007700,-0.998300,-0.057100,0.000000,6.546,6.546,-0.050,-179.119,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,0.026772,0.997297,0.057628,0.036890,6.731,-4.042,176.687,b6 00 00 00 00 00 00 4d 00 01 d9 c5 fd 00 00 07 14 be
0.046,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998700,0.032300,0.038800,-0.000300,0.110,0.110,4.446,3.709,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 03 27 43 01 84 01 fd ff 07 00 e6
0.046,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.263900,0.013200,0.001700,-0.964400,-149.386,-149.386,1.510,0.211,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,0.264360,0.042080,-0.039691,-0.962688,-149.119,3.442,5.673,b6 00 00 00 00 00 00 4f 0a 84 00 11 00 54 da 07 32 6b
0.047,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.861200,-0.029000,-0.004900,0.507300,60.963,60.963,1.202,-3.149,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,0.858873,-0.076467,-0.021933,0.505974,60.830,2.276,-8.840,b6 00 00 00 00 00 00 a4 21 de fe cf ff d1 13 07 1e 4e
0.048,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.909400,-0.012600,0.017900,-0.415100,-49.084,-49.084,1.266,-2.166,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,0.908745,-0.025860,-0.030823,-0.415407,-49.085,-4.445,-1.229,b6 00 00 00 00 00 00 86 23 82 ff b3 00 c9 ef 07 28 62
0.049,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.007700,-0.998300,-0.057100,0.000000,6.546,6.546,-0.050,-179.119,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,0.026772,0.997297,0.057628,0.036890,6.731,-4.042,176.687,b6 00 00 00 00 00 00 4d 00 01 d9 c5 fd 00 00 07 14 be
0.050,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998700,0.032400,0.038800,-0.000300,0.110,0.110,4.446,3.720,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032400,0.038800,-0.000300,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,-0.000,b6 00 00 00 00 00 00 03 27 44 01 84 01 fd ff 07 00 e1
0.050,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.263900,0.013200,0.001700,-0.964400,-149.386,-149.386,1.510,0.211,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032400,0.038800,-0.000300,0.264360,0.042054,-0.039787,-0.962685,-149.119,3.436,5.683,b6 00 00 00 00 00 00 4f 0a 84 00 11 00 54 da 07 32 6b
0.051,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.861200,-0.029000,-0.004900,0.507300,60.963,60.963,1.202,-3.149,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032400,0.038800,-0.000300,0.858867,-0.076553,-0.021882,0.505973,60.829,2.286,-8.845,b6 00 00 00 00 00 00 a4 21 de fe cf ff d1 13 07 1e 4e
0.052,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.909400,-0.012500,0.017800,-0.415100,-49.084,-49.084,1.260,-2.150,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032400,0.038800,-0.000300,0.908743,-0.025851,-0.030965,-0.415402,-49.084,-4.460,-1.222,b6 00 00 00 00 00 00 86 23 83 ff b2 00 c9 ef 07 28 62
