time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.000,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.379000,0.001100,-0.012400,-0.925200,-135.445,224.555,-0.422,1.363,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024600,0.021300,0.004400,0.374527,0.011430,-0.043237,-0.926137,-135.992,-0.643,5.086,b6 00 00 00 00 00 00 ce 0e 0b 00 84 ff dc db 07 32 82
0.001,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.022500,-0.967500,0.251500,-0.002100,-29.129,-29.129,0.416,-177.443,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024600,0.021300,0.004400,0.004034,-0.966468,0.255114,-0.028997,-29.609,-3.095,-178.704,b6 00 00 00 00 00 00 e1 00 35 da d3 09 eb ff 07 14 d3
0.002,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.843700,0.003800,0.018700,-0.536400,-64.904,-64.904,2.042,-0.783,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024600,0.021300,0.004400,0.841411,-0.005450,-0.012495,-0.540224,-65.408,-1.542,0.248,b6 00 00 00 00 00 00 f5 20 26 00 bb 00 0c eb 07 28 80
0.003,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.589100,-0.013700,0.044200,-0.806700,-107.794,252.206,1.718,-5.019,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024600,0.021300,0.004400,0.585853,-0.010807,0.011842,-0.810259,-108.259,-0.208,-1.825,b6 00 00 00 00 00 00 03 17 77 ff ba 01 7d e0 07 1e a3
0.004,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999400,0.024700,0.021300,0.004400,0.565,0.565,2.428,2.843,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0a 27 f7 00 d5 00 2c 00 07 00 24
0.005,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.379000,0.000900,-0.012500,-0.925200,-135.445,224.555,-0.447,1.365,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.374518,0.011192,-0.043429,-0.926134,-135.994,-0.676,5.096,b6 00 00 00 00 00 00 ce 0e 09 00 83 ff dc db 07 32 87
0.006,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.022500,-0.967500,0.251500,-0.002100,-29.129,-29.129,0.416,-177.443,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.003938,-0.966468,0.255113,-0.029022,-29.608,-3.101,-178.714,b6 00 00 00 00 00 00 e1 00 35 da d3 09 eb ff 07 14 d3
0.008,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.843700,0.003800,0.018700,-0.536400,-64.904,-64.904,2.042,-0.783,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.841409,-0.005535,-0.012549,-0.540225,-65.408,-1.553,0.243,b6 00 00 00 00 00 00 f5 20 26 00 bb 00 0c eb 07 28 80
0.009,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.589100,-0.013700,0.044200,-0.806700,-107.794,252.206,1.718,-5.019,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.585850,-0.010866,0.011761,-0.810261,-108.260,-0.219,-1.822,b6 00 00 00 00 00 00 03 17 77 ff ba 01 7d e0 07 1e a3
0.010,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999400,0.024700,0.021300,0.004400,0.565,0.565,2.428,2.843,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0a 27 f7 00 d5 00 2c 00 07 00 24
0.011,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.379000,0.001000,-0.012400,-0.925300,-135.456,224.544,-0.433,1.358,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.374488,0.011293,-0.043328,-0.926150,-135.998,-0.661,5.090,b6 00 00 00 00 00 00 ce 0e 0a 00 84 ff db db 07 32 84
0.012,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.022400,-0.967500,0.251500,-0.002100,-29.129,-29.129,0.413,-177.454,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.003838,-0.966467,0.255116,-0.029021,-29.608,-3.103,-178.725,b6 00 00 00 00 00 00 e0 00 35 da d3 09 eb ff 07 14 d2
0.013,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.843700,0.003800,0.018700,-0.536300,-64.889,-64.889,2.042,-0.782,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.841455,-0.005537,-0.012547,-0.540154,-65.398,-1.553,0.243,b6 00 00 00 00 00 00 f5 20 26 00 bb 00 0d eb 07 28 81
0.014,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.589100,-0.013600,0.044100,-0.806600,-107.778,252.222,1.720,-5.003,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.585902,-0.010770,0.011665,-0.810227,-108.253,-0.217,-1.806,b6 00 00 00 00 00 00 03 17 78 ff b9 01 7e e0 07 1e ac
0.015,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999400,0.024700,0.021300,0.004400,0.565,0.565,2.428,2.843,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0a 27 f7 00 d5 00 2c 00 07 00 24
0.016,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.378900,0.001200,-0.012300,-0.925300,-135.464,224.536,-0.407,1.356,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.374410,0.011496,-0.043228,-0.926184,-136.006,-0.635,5.088,b6 00 00 00 00 00 00 cd 0e 0c 00 85 ff db db 07 32 80
0.017,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.022400,-0.967500,0.251500,-0.002100,-29.129,-29.129,0.413,-177.454,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.003838,-0.966467,0.255116,-0.029021,-29.608,-3.103,-178.725,b6 00 00 00 00 00 00 e0 00 35 da d3 09 eb ff 07 14 d2
0.017,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.843700,0.003800,0.018700,-0.536300,-64.889,-64.889,2.042,-0.782,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.841455,-0.005537,-0.012547,-0.540154,-65.398,-1.553,0.243,b6 00 00 00 00 00 00 f5 20 26 00 bb 00 0d eb 07 28 81
0.018,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.589100,-0.013700,0.044100,-0.806600,-107.778,252.222,1.711,-5.010,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.585899,-0.010870,0.011665,-0.810228,-108.253,-0.226,-1.813,b6 00 00 00 00 00 00 03 17 77 ff b9 01 7e e0 07 1e a3
0.023,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999400,0.024700,0.021300,0.004400,0.565,0.565,2.428,2.843,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0a 27 f7 00 d5 00 2c 00 07 00 24
0.024,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.378900,0.001200,-0.012400,-0.925300,-135.464,224.536,-0.411,1.367,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.374407,0.011496,-0.043328,-0.926180,-136.007,-0.639,5.099,b6 00 00 00 00 00 00 cd 0e 0c 00 84 ff db db 07 32 81
0.025,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.022500,-0.967500,0.251500,-0.002100,-29.129,-29.129,0.416,-177.443,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.003938,-0.966468,0.255113,-0.029022,-29.608,-3.101,-178.714,b6 00 00 00 00 00 00 e1 00 35 da d3 09 eb ff 07 14 d3
0.027,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.843700,0.003800,0.018700,-0.536300,-64.889,-64.889,2.042,-0.782,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.841455,-0.005537,-0.012547,-0.540154,-65.398,-1.553,0.243,b6 00 00 00 00 00 00 f5 20 26 00 bb 00 0d eb 07 28 81
0.028,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.589100,-0.013700,0.044200,-0.806600,-107.778,252.222,1.718,-5.019,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.585898,-0.010869,0.011765,-0.810226,-108.253,-0.219,-1.822,b6 00 00 00 00 00 00 03 17 77 ff ba 01 7e e0 07 1e a0
0.028,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999400,0.024700,0.021300,0.004400,0.565,0.565,2.428,2.843,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 0a 27 f7 00 d5 00 2c 00 07 00 24
0.029,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.378900,0.001000,-0.012500,-0.925300,-135.464,224.536,-0.437,1.369,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.374400,0.011296,-0.043427,-0.926181,-136.008,-0.664,5.101,b6 00 00 00 00 00 00 cd 0e 0a 00 83 ff db db 07 32 80
0.030,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.022500,-0.967500,0.251500,-0.002100,-29.129,-29.129,0.416,-177.443,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.003938,-0.966468,0.255113,-0.029022,-29.608,-3.101,-178.714,b6 00 00 00 00 00 00 e1 00 35 da d3 09 eb ff 07 14 d3
0.031,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.843700,0.003800,0.018700,-0.536300,-64.889,-64.889,2.042,-0.782,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.841455,-0.005537,-0.012547,-0.540154,-65.398,-1.553,0.243,b6 00 00 00 00 00 00 f5 20 26 00 bb 00 0d eb 07 28 81
0.032,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.589100,-0.013700,0.044200,-0.806600,-107.778,252.222,1.718,-5.019,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021300,0.004400,0.585898,-0.010869,0.011765,-0.810226,-108.253,-0.219,-1.822,b6 00 00 00 00 00 00 03 17 77 ff ba 01 7e e0 07 1e a0
0.033,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999400,0.024700,0.021200,0.004400,0.564,0.564,2.416,2.843,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021200,0.004400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 0a 27 f7 00 d4 00 2c 00 07 00 25
0.034,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.378900,0.001000,-0.012500,-0.925300,-135.464,224.536,-0.437,1.369,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021200,0.004400,0.374402,0.011203,-0.043389,-0.926183,-136.009,-0.673,5.093,b6 00 00 00 00 00 00 cd 0e 0a 00 83 ff db db 07 32 80
0.037,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.022400,-0.967500,0.251500,-0.002100,-29.129,-29.129,0.413,-177.454,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021200,0.004400,0.003812,-0.966470,0.255118,-0.028925,-29.608,-3.093,-178.730,b6 00 00 00 00 00 00 e0 00 35 da d3 09 eb ff 07 14 d2
0.037,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.843700,0.003800,0.018700,-0.536300,-64.889,-64.889,2.042,-0.782,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021200,0.004400,0.841454,-0.005591,-0.012463,-0.540155,-65.398,-1.548,0.232,b6 00 00 00 00 00 00 f5 20 26 00 bb 00 0d eb 07 28 81
0.038,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.589200,-0.013600,0.044100,-0.806600,-107.775,252.225,1.721,-5.003,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021200,0.004400,0.585964,-0.010852,0.011721,-0.810180,-108.244,-0.221,-1.817,b6 00 00 00 00 00 00 04 17 78 ff b9 01 7e e0 07 1e ab
0.039,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.999400,0.024700,0.021200,0.004400,0.564,0.564,2.416,2.843,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.999400,0.024700,0.021200,0.004400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 0a 27 f7 00 d4 00 2c 00 07 00 25
