time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.000,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.145700,0.003000,-0.014100,-0.989200,-163.240,-163.240,0.105,1.649,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031900,-0.213900,0.353417,0.032124,-0.054267,-0.933338,-138.444,1.238,7.125,b6 00 00 00 00 00 00 b1 05 1e 00 73 ff 5c d9 07 32 96
0.001,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.975600,0.036900,0.031800,-0.213900,-24.600,-24.600,4.464,3.358,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.213900,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 1c 26 71 01 3e 01 a5 f7 07 00 20
0.002,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998300,0.044000,0.019900,-0.032300,-3.600,-3.600,2.440,4.971,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.213900,0.983156,0.002860,-0.004112,0.182699,21.053,-0.523,0.236,b6 00 00 00 00 00 00 ff 26 b8 01 c7 00 bd fe 07 28 cb
0.002,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.748700,-0.020900,0.002400,0.662500,82.978,82.978,1.793,-1.612,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.213900,0.588080,-0.069604,-0.001492,0.805800,107.486,6.340,-4.864,b6 00 00 00 00 00 00 3f 1d 2f ff 18 00 e1 19 07 1e 0b
0.003,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.145600,0.003000,-0.014100,-0.989200,-163.251,-163.251,0.105,1.649,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.213900,0.353327,0.032029,-0.054250,-0.933376,-138.455,1.229,7.119,b6 00 00 00 00 00 00 b0 05 1e 00 73 ff 5c d9 07 32 97
0.004,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.975600,0.036900,0.031800,-0.213900,-24.600,-24.600,4.464,3.358,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.213900,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 1c 26 71 01 3e 01 a5 f7 07 00 20
0.004,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998300,0.044000,0.019900,-0.032300,-3.600,-3.600,2.440,4.971,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.213900,0.983156,0.002860,-0.004112,0.182699,21.053,-0.523,0.236,b6 00 00 00 00 00 00 ff 26 b8 01 c7 00 bd fe 07 28 cb
0.005,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.748600,-0.020900,0.002400,0.662500,82.977,82.977,1.793,-1.612,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.213900,0.588027,-0.069606,-0.001489,0.805839,107.493,6.340,-4.863,b6 00 00 00 00 00 00 3e 1d 2f ff 18 00 e1 19 07 1e 0a
0.006,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.145600,0.003000,-0.014100,-0.989200,-163.251,-163.251,0.105,1.649,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.213900,0.353327,0.032029,-0.054250,-0.933376,-138.455,1.229,7.119,b6 00 00 00 00 00 00 b0 05 1e 00 73 ff 5c d9 07 32 97
0.006,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.975600,0.036900,0.031800,-0.214000,-24.612,-24.612,4.464,3.358,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.214000,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 1c 26 71 01 3e 01 a4 f7 07 00 21
0.007,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998300,0.044000,0.019900,-0.032300,-3.600,-3.600,2.440,4.971,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.214000,0.983138,0.002858,-0.004107,0.182794,21.064,-0.523,0.236,b6 00 00 00 00 00 00 ff 26 b8 01 c7 00 bd fe 07 28 cb
0.008,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.748600,-0.020900,0.002400,0.662600,82.993,82.993,1.793,-1.612,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.214000,0.587888,-0.069603,-0.001487,0.805941,107.513,6.341,-4.862,b6 00 00 00 00 00 00 3e 1d 2f ff 18 00 e2 19 07 1e 09
0.008,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.145600,0.002900,-0.014100,-0.989200,-163.251,-163.251,0.093,1.647,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.214000,0.353415,0.031932,-0.054270,-0.933345,-138.446,1.218,7.117,b6 00 00 00 00 00 00 b0 05 1d 00 73 ff 5c d9 07 32 94
0.009,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.975600,0.036900,0.031800,-0.214000,-24.612,-24.612,4.464,3.358,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.975600,0.036900,0.031800,-0.214000,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 1c 26 71 01 3e 01 a4 f7 07 00 21
