time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.000,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.383100,0.010100,-0.001200,-0.923600,-134.935,-134.935,1.016,0.570,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057500,0.435417,0.032249,-0.043889,-0.898580,-128.233,1.131,6.141,b6 00 00 00 00 00 00 f7 0e 65 00 f4 ff ec db 07 32 95
0.001,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.997100,0.031500,0.037000,-0.057600,-6.481,-6.481,4.440,3.367,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057600,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 f3 26 3b 01 72 01 c0 fd 07 00 a6
0.002,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.981700,0.036500,0.015300,-0.186100,-21.384,-21.384,2.500,3.786,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057600,0.991377,0.011476,-0.024829,-0.128157,-14.770,-2.653,1.670,b6 00 00 00 00 00 00 59 26 6d 01 99 00 bb f8 07 28 e6
0.003,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.848200,-0.026300,-0.001700,0.528800,63.837,63.837,1.429,-2.661,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057600,0.814531,-0.072422,-0.017939,0.575303,70.251,3.102,-7.980,b6 00 00 00 00 00 00 22 21 f9 fe ef ff a8 14 07 1e b1
0.003,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.383100,0.010100,-0.001200,-0.923600,-134.935,-134.935,1.016,0.570,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057600,0.435507,0.032249,-0.043887,-0.898536,-128.222,1.130,6.141,b6 00 00 00 00 00 00 f7 0e 65 00 f4 ff ec db 07 32 95
0.004,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.997100,0.031500,0.037000,-0.057600,-6.481,-6.481,4.440,3.367,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057600,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 f3 26 3b 01 72 01 c0 fd 07 00 a6
0.004,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.981700,0.036500,0.015300,-0.186100,-21.384,-21.384,2.500,3.786,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057600,0.991377,0.011476,-0.024829,-0.128157,-14.770,-2.653,1.670,b6 00 00 00 00 00 00 59 26 6d 01 99 00 bb f8 07 28 e6
0.005,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.848200,-0.026300,-0.001700,0.528800,63.837,63.837,1.429,-2.661,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057600,0.814531,-0.072422,-0.017939,0.575303,70.251,3.102,-7.980,b6 00 00 00 00 00 00 22 21 f9 fe ef ff a8 14 07 1e b1
0.005,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.383000,0.010100,-0.001200,-0.923600,-134.942,-134.942,1.016,0.570,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057600,0.435424,0.032253,-0.043885,-0.898576,-128.232,1.131,6.141,b6 00 00 00 00 00 00 f6 0e 65 00 f4 ff ec db 07 32 94
0.006,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.997100,0.031500,0.037000,-0.057600,-6.481,-6.481,4.440,3.367,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.997100,0.031500,0.037000,-0.057600,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 f3 26 3b 01 72 01 c0 fd 07 00 a6
