time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.000,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924100,0.010700,0.019100,-0.381300,-44.830,-44.830,2.491,0.299,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019700,-0.092400,0.955677,-0.002917,-0.006176,-0.294337,-34.236,-0.775,-0.111,b6 00 00 00 00 00 00 19 24 6b 00 bf 00 1b f1 07 1e 1a
0.001,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995300,0.020900,0.019700,-0.092400,-10.561,-10.561,2.469,2.178,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019700,-0.092400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e1 26 d1 00 c5 00 64 fc 07 00 4c
0.001,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924100,0.010700,0.019100,-0.381300,-44.830,-44.830,2.491,0.299,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019700,-0.092400,0.955677,-0.002917,-0.006176,-0.294337,-34.236,-0.775,-0.111,b6 00 00 00 00 00 00 19 24 6b 00 bf 00 1b f1 07 1e 1a
0.002,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995300,0.020900,0.019700,-0.092400,-10.561,-10.561,2.469,2.178,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019700,-0.092400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e1 26 d1 00 c5 00 64 fc 07 00 4c
0.002,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924100,0.010700,0.019100,-0.381300,-44.830,-44.830,2.491,0.299,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019700,-0.092400,0.955677,-0.002917,-0.006176,-0.294337,-34.236,-0.775,-0.111,b6 00 00 00 00 00 00 19 24 6b 00 bf 00 1b f1 07 1e 1a
0.003,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995300,0.020900,0.019600,-0.092400,-10.561,-10.561,2.457,2.179,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019600,-0.092400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e1 26 d1 00 c4 00 64 fc 07 00 4d
0.003,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924200,0.010800,0.019100,-0.381200,-44.820,-44.820,2.495,0.310,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019600,-0.092400,0.955717,-0.002860,-0.006073,-0.294211,-34.221,-0.762,-0.108,b6 00 00 00 00 00 00 1a 24 6c 00 bf 00 1c f1 07 1e 19
0.004,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995300,0.020900,0.019600,-0.092400,-10.561,-10.561,2.457,2.179,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019600,-0.092400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e1 26 d1 00 c4 00 64 fc 07 00 4d
0.004,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924200,0.010800,0.019000,-0.381200,-44.819,-44.819,2.485,0.314,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019600,-0.092400,0.955717,-0.002851,-0.006173,-0.294210,-34.220,-0.772,-0.104,b6 00 00 00 00 00 00 1a 24 6c 00 be 00 1c f1 07 1e 18
0.005,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995300,0.020900,0.019600,-0.092400,-10.561,-10.561,2.457,2.179,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019600,-0.092400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e1 26 d1 00 c4 00 64 fc 07 00 4d
0.005,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924200,0.010800,0.019100,-0.381200,-44.820,-44.820,2.495,0.310,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019600,-0.092400,0.955717,-0.002860,-0.006073,-0.294211,-34.221,-0.762,-0.108,b6 00 00 00 00 00 00 1a 24 6c 00 bf 00 1c f1 07 1e 19
0.005,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995300,0.020900,0.019600,-0.092400,-10.561,-10.561,2.457,2.179,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019600,-0.092400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e1 26 d1 00 c4 00 64 fc 07 00 4d
0.006,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924200,0.010700,0.019100,-0.381200,-44.820,-44.820,2.491,0.299,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995300,0.020900,0.019600,-0.092400,0.955716,-0.002960,-0.006083,-0.294214,-34.221,-0.766,-0.119,b6 00 00 00 00 00 00 1a 24 6b 00 bf 00 1c f1 07 1e 1e
0.006,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995200,0.020900,0.019600,-0.092400,-10.560,-10.560,2.457,2.178,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019600,-0.092400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e0 26 d1 00 c4 00 64 fc 07 00 4c
0.080,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924200,0.010700,0.019100,-0.381200,-44.820,-44.820,2.491,0.299,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019600,-0.092400,0.955718,-0.002961,-0.006085,-0.294205,-34.220,-0.766,-0.119,b6 00 00 00 00 00 00 1a 24 6b 00 bf 00 1c f1 07 1e 1e
0.081,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995200,0.020900,0.019600,-0.092400,-10.560,-10.560,2.457,2.178,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019600,-0.092400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e0 26 d1 00 c4 00 64 fc 07 00 4c
0.082,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924200,0.010700,0.019100,-0.381100,-44.806,-44.806,2.491,0.299,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019600,-0.092400,0.955746,-0.002963,-0.006083,-0.294116,-34.209,-0.766,-0.119,b6 00 00 00 00 00 00 1a 24 6b 00 bf 00 1d f1 07 1e 1f
0.083,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995200,0.020900,0.019600,-0.092400,-10.560,-10.560,2.457,2.178,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019600,-0.092400,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e0 26 d1 00 c4 00 64 fc 07 00 4c
0.083,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924200,0.010800,0.019100,-0.381100,-44.806,-44.806,2.495,0.310,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019600,-0.092400,0.955747,-0.002863,-0.006074,-0.294114,-34.209,-0.762,-0.109,b6 00 00 00 00 00 00 1a 24 6c 00 bf 00 1d f1 07 1e 18
0.084,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995200,0.020900,0.019700,-0.092500,-10.571,-10.571,2.469,2.177,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019700,-0.092500,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,0.000,b6 00 00 00 00 00 00 e0 26 d1 00 c5 00 63 fc 07 00 4a
0.084,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924200,0.010800,0.019100,-0.381100,-44.806,-44.806,2.495,0.310,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019700,-0.092500,0.955776,-0.002827,-0.006165,-0.294017,-34.197,-0.771,-0.102,b6 00 00 00 00 00 00 1a 24 6c 00 bf 00 1d f1 07 1e 18
0.085,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995200,0.020900,0.019600,-0.092500,-10.571,-10.571,2.458,2.178,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019600,-0.092500,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 e0 26 d1 00 c4 00 63 fc 07 00 4b
0.086,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.924200,0.010900,0.019100,-0.381000,-44.792,-44.792,2.499,0.321,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019600,-0.092500,0.955804,-0.002768,-0.006062,-0.293928,-34.187,-0.757,-0.099,b6 00 00 00 00 00 00 1a 24 6d 00 bf 00 1e f1 07 1e 1a
0.086,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.995200,0.020900,0.019600,-0.092500,-10.571,-10.571,2.458,2.178,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.995200,0.020900,0.019600,-0.092500,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 e0 26 d1 00 c4 00 63 fc 07 00 4b
