time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.000,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.866400,-0.029300,0.068600,0.493600,59.407,59.407,8.499,0.982,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,0.071511,0.476396,-0.874954,0.048872,-122.952,-9.887,-178.989,b6 00 00 00 00 00 00 d8 21 db fe ae 02 48 13 07 1e 32
0.001,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.012100,-0.850100,0.526400,0.000000,-63.521,-63.521,0.730,-178.821,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 79 00 cb de 90 14 00 00 07 00 ef
0.002,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.982400,0.055700,0.013600,-0.177600,-20.353,-20.353,2.666,6.011,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,0.028307,-0.929369,0.366020,-0.038736,-43.112,-2.939,-175.350,b6 00 00 00 00 00 00 60 26 2d 02 88 00 10 f9 07 28 27
0.002,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.783300,-0.035500,0.064400,0.617200,76.568,76.568,8.321,1.383,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,0.073563,0.340591,-0.936318,0.043531,-140.176,-9.637,-178.174,b6 00 00 00 00 00 00 99 1e 9d fe 84 02 1c 18 07 32 53
0.003,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.866400,-0.029400,0.067500,0.493700,59.409,59.409,8.395,0.910,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,0.071018,0.476353,-0.875072,0.047886,-122.956,-9.783,-179.061,b6 00 00 00 00 00 00 d8 21 da fe a3 02 49 13 07 1e 3f
0.003,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.012100,-0.850100,0.526400,0.000000,-63.521,-63.521,0.730,-178.821,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 79 00 cb de 90 14 00 00 07 00 ef
0.004,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.982400,0.055400,0.013600,-0.177600,-20.354,-20.354,2.659,5.977,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,0.028052,-0.929381,0.366026,-0.038578,-43.111,-2.933,-175.383,b6 00 00 00 00 00 00 60 26 2a 02 88 00 10 f9 07 28 20
0.005,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.783300,-0.035500,0.063800,0.617200,76.560,76.560,8.266,1.340,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,0.073250,0.340604,-0.936361,0.043023,-140.171,-9.584,-178.218,b6 00 00 00 00 00 00 99 1e 9d fe 7e 02 1c 18 07 32 a9
0.005,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.866500,-0.029400,0.066300,0.493700,59.398,59.398,8.275,0.840,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,0.070387,0.476435,-0.875134,0.046865,-122.944,-9.663,-179.131,b6 00 00 00 00 00 00 d9 21 da fe 97 02 49 13 07 1e 0a
0.006,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.012100,-0.850100,0.526400,0.000000,-63.521,-63.521,0.730,-178.821,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.012100,-0.850100,0.526400,0.000000,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 79 00 cb de 90 14 00 00 07 00 ef
